id,entreprise_cible,job_title,linkedin_headline,about,poste_actuel,postes_passes
1,Groupe Aléa,Directrice commerciale,Directrice commerciale Groupe Aléa | Assurance des entreprises,"Je pilote le développement commercial de Groupe Aléa sur la France entière : 12 commerciaux, objectif de 30 % de nouveaux clients par an.","Directrice commerciale, Groupe Aléa, depuis 2023","Responsable grands comptes, AXA (2016 à 2023)"
2,Groupe Aléa,Business Developer,Business Developer @ Groupe Aléa | Assurance flotte et cyber pour les PME,"Je prospecte les PME industrielles du Grand Est pour leurs contrats flotte, RC et cyber. 40 rendez-vous par mois.","Business Developer, Groupe Aléa, depuis 2024","SDR, Alan (2022 à 2024)"
3,Groupe Aléa,Directeur administratif et financier,DAF Groupe Aléa,"Finance, contrôle de gestion et juridique du groupe. Expert-comptable de formation.","Directeur administratif et financier, Groupe Aléa, depuis 2019","Contrôleur de gestion, Bellune Textile (2012 à 2019)"
4,Groupe Aléa,Responsable marketing,Responsable marketing et génération de leads chez Groupe Aléa,"En charge du site, des webinaires et de la génération de leads entrants pour les commerciaux. Budget acquisition de 400 k€.","Responsable marketing, Groupe Aléa, depuis 2022","Chef de projet digital, Lumen Énergie (2018 à 2022)"
5,Groupe Aléa,Chargé de clientèle,Nouveau départ chez Vertigo Robotics ! Chargé d'affaires industrie,"Après six ans en courtage, je rejoins Vertigo Robotics pour développer les ventes de robots de tri auprès des logisticiens.","Chargé d'affaires, Vertigo Robotics, depuis septembre 2026","Chargé de clientèle, Groupe Aléa (2020 à 2026)"
6,Groupe Aléa,Président,Président de Groupe Aléa | Courtier indépendant depuis 1987,"J'ai repris le cabinet familial en 2009. 320 collaborateurs, 8 agences. Je continue à suivre personnellement nos 20 plus gros clients.","Président, Groupe Aléa, depuis 2009","Directeur d'agence, Groupe Aléa (2001 à 2009)"
7,Groupe Aléa,Responsable des ressources humaines,RRH chez Groupe Aléa | Recrutement et QVT,"Recrutement des commerciaux et des gestionnaires, marque employeur, formation interne.","Responsable des ressources humaines, Groupe Aléa, depuis 2021","Chargée de recrutement, Corvus Avocats (2017 à 2021)"
8,Groupe Aléa,Directeur d'agence,Directeur d'agence Groupe Aléa Lyon,Je dirige l'agence de Lyon : 18 personnes dont 4 commerciaux. Responsable du chiffre d'affaires de la région Auvergne-Rhône-Alpes.,"Directeur d'agence, Groupe Aléa, depuis 2020","Commercial, Groupe Aléa (2014 à 2020)"
9,Groupe Aléa,Responsable informatique,Responsable SI Groupe Aléa,"Infrastructure, poste de travail, sécurité, outils métier. Migration du CRM en cours.","Responsable informatique, Groupe Aléa, depuis 2018","Administrateur systèmes, Martin Technologies (2013 à 2018)"
10,Groupe Aléa,Gestionnaire sinistres,Gestionnaire sinistres | Groupe Aléa,Gestion des dossiers sinistres flotte automobile pour nos clients entreprises.,"Gestionnaire sinistres, Groupe Aléa, depuis 2022","Gestionnaire sinistres, Allianz (2019 à 2022)"
